tweet_id,id,version,batch_tweet,hate_speech,offensive_language,tweet_hashed,original_split
1449,1069,E,R49,1,1,"Subtweeting little bitch ""taking the high road""",train
1449,1153,E,R49,0,1,"Subtweeting little bitch ""taking the high road""",train
1449,1440,E,R49,0,1,"Subtweeting little bitch ""taking the high road""",train
1449,1014,D,R49,1,1,"Subtweeting little bitch ""taking the high road""",train
1449,1063,D,R49,0,1,"Subtweeting little bitch ""taking the high road""",train
1449,1355,D,R49,0,1,"Subtweeting little bitch ""taking the high road""",train
1449,1030,C,R49,0,1,"Subtweeting little bitch ""taking the high road""",train
1449,1045,C,R49,0,1,"Subtweeting little bitch ""taking the high road""",train
1449,1068,C,R49,0,1,"Subtweeting little bitch ""taking the high road""",train
1449,1228,B,R49,0,1,"Subtweeting little bitch ""taking the high road""",train
1449,1566,B,R49,1,1,"Subtweeting little bitch ""taking the high road""",train
1449,1599,B,R49,0,1,"Subtweeting little bitch ""taking the high road""",train
1449,959,A,R49,0,1,"Subtweeting little bitch ""taking the high road""",train
1449,1306,A,R49,0,1,"Subtweeting little bitch ""taking the high road""",train
1449,1724,A,R49,0,1,"Subtweeting little bitch ""taking the high road""",train
572,65,E,R22,0,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that,train
572,227,E,R22,0,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that,train
572,239,E,R22,0,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that,train
572,315,D,R22,0,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that,train
572,319,D,R22,0,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that,train
572,761,D,R22,0,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that,train
572,298,C,R22,0,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that,train
572,300,C,R22,0,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that,train
572,358,C,R22,0,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that,train
572,75,B,R22,0,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that,train
572,120,B,R22,0,1,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that,train
572,322,B,R22,0,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that,train
572,69,A,R22,0,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that,train
572,80,A,R22,0,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that,train
572,291,A,R22,1,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that,train
2039,1477,E,R39,0,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe,train
2039,1488,E,R39,0,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe,train
2039,1731,E,R39,0,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe,train
2039,1067,D,R39,0,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe,train
2039,1163,D,R39,0,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe,train
2039,1339,D,R39,0,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe,train
2039,1033,C,R39,0,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe,train
2039,1041,C,R39,1,1,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe,train
2039,1821,C,R39,0,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe,train
2039,1196,B,R39,0,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe,train
2039,1243,B,R39,0,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe,train
2039,1567,B,R39,0,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe,train
2039,1314,A,R39,0,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe,train
2039,1519,A,R39,0,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe,train
2039,1740,A,R39,0,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe,train
1763,1096,E,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga,train
1763,1111,E,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga,train
1763,1484,E,R13,0,1,Stu a rape faced faggot man I'm sick of this nigga,train
1763,1334,D,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga,train
1763,1350,D,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga,train
1763,1358,D,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga,train
1763,1083,C,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga,train
1763,1099,C,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga,train
1763,1276,C,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga,train
1763,1183,B,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga,train
1763,1587,B,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga,train
1763,1822,B,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga,train
1763,954,A,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga,train
1763,1801,A,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga,train
1763,1866,A,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga,train
2429,1471,E,R29,0,0,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!,train
2429,1725,E,R29,NA,1,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!,train
2429,1774,E,R29,0,0,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!,train
2429,1010,D,R29,0,1,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!,train
2429,1092,D,R29,0,0,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!,train
2429,1135,D,R29,1,1,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!,train
2429,1422,C,R29,0,1,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!,train
2429,1548,C,R29,1,1,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!,train
2429,1746,C,R29,0,1,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!,train
2429,979,B,R29,0,0,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!,train
2429,1020,B,R29,0,0,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!,train
2429,1039,B,R29,0,1,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!,train
2429,964,A,R29,0,0,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!,train
2429,1281,A,R29,1,0,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!,train
2429,1318,A,R29,1,0,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!,train
675,116,E,R25,1,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",train
675,187,E,R25,0,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",train
675,234,E,R25,1,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",train
675,142,D,R25,0,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",train
675,782,D,R25,1,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",train
675,788,D,R25,1,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",train
675,58,C,R25,0,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",train
675,71,C,R25,0,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",train
675,324,C,R25,1,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",train
675,5,B,R25,1,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",train
675,24,B,R25,0,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",train
675,118,B,R25,1,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",train
675,178,A,R25,1,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",train
675,191,A,R25,1,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",train
675,932,A,R25,0,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",train
152,63,E,R2,0,0,"@###### @###### @###### btw, genocide isn't war. The people of Gaza are no more combatants than the people of the Warsaw ghetto.",train
